A	B	C	id_osoby
59,3	18,35	29,23	1
56,93	24,88	12,45	2
14,26	46,96	51,16	3
31,77	21,82	34,66	4
62,94	39,97	51,46	5
48,26	24,93	36,96	6
46,63	37,07	84,62	7
82,68	10,07	46,39	8
84,63	66,88	34,72	9
71,13	17,84	9,92	10
46,6	58,01	91,06	11
6,26	4,48	6,78	12
56,72	53,91	50,73	13
95,84	47,94	58,01	14
12,99	24,42	7,24	15
27,6	47,25	90,94	16
98,2	31,41	99,88	17
47,35	24,53	39,88	18
50,74	32,84	86,5	19
2,16	5,31	6,93	20
43,87	32,21	60,05	21
3,75	81,06	22,04	22
68,5	96,28	35,72	23
28,05	49,43	57,78	24
37,1	30,24	40,7	25
83,36	30,11	87,08	26
87,62	97,23	9,67	27
10,58	22,2	57,86	28
99,11	86,22	28,52	29
74,92	69,67	7,4	30
43,44	20,24	25,65	31
32,42	69,93	56,74	32
24,56	88,47	58,7	33
99,08	16,75	85,3	34
39,45	68,89	0,91	35
35,91	71,17	74,72	36
21,02	95,79	49,98	37
55,64	96,8	8,9	38
68,41	6,55	12,3	39
56,12	79,83	79,63	40
27,3	30,72	75,68	41
45,17	79,61	33,11	42
89,49	8,16	70,48	43
36,3	71,43	29,6	44
45,72	73,4	41,42	45
43,21	53,63	30,33	46
13,11	44,15	23,52	47
98,84	85,49	76,83	48
73,65	6,78	66,57	49
78,61	21,07	74,08	50
46,3	7,47	79,62	51
33,92	93,52	29,2	52
90,66	67,92	65,61	53
38,7	86,52	11,92	54
50,97	38,16	63,27	55
33,01	72,4	93,89	56
45,1	52,24	33,68	57
65,13	76,85	60,7	58
37,77	21,86	35,67	59
67,6	66,58	82,3	60
80,48	47,98	87,44	61
79,98	22,04	32,12	62
93,51	17,32	99,83	63
13,78	38,71	87,85	64
8,65	42,54	42,3	65
74,87	58,68	74,55	66
74,35	75,02	99,49	67
65,44	33,08	69,24	68
78,79	21,38	42,55	69
23,69	11,73	67,35	70
10,45	99,31	20,92	71
65,33	15,35	33,42	72
99,48	98,52	5,9	73
