Papuga_nr start1 stop1 start2 stop2
1 87 287 480 644
2 21 225 439 941
3 57 181 418 782
4 31 107 316 857
5 1 225 359 968
6 15 36 118 330
7 47 237 302 507
8 93 285 447 964
9 57 195 221 337
10 7 228 299 479
11 15 278 330 875
12 85 254 441 957
13 21 277 437 738
14 39 246 413 612
15 92 294 485 941
16 96 248 483 567
17 58 112 322 347
18 82 254 405 844
19 96 198 344 769
20 75 248 437 943
21 55 123 397 459
22 20 291 338 771
23 84 197 470 642
24 54 130 271 409
25 5 148 355 376
26 85 115 420 503
27 55 226 229 641
28 38 293 349 694
29 62 150 437 933
30 3 185 433 773
31 97 144 429 811
32 33 82 188 776
33 35 229 457 483
34 28 85 379 881
35 17 222 259 650
36 52 278 497 919
37 70 113 148 251
38 57 164 186 271
39 78 256 296 319
40 49 280 345 419
41 75 81 273 693
42 37 49 139 556
43 89 273 423 538
44 89 110 252 312
45 98 277 315 591
46 87 208 420 434
47 39 173 354 374
48 87 200 457 497
49 40 217 331 889
50 72 243 453 526
51 39 111 482 762
52 2 147 456 489
53 60 192 433 764
54 57 141 481 887
55 49 206 219 735
56 19 275 384 435
57 99 235 484 722
58 91 216 470 614
59 58 108 429 849
60 10 21 486 968
61 12 39 193 781
62 74 208 272 672
63 1 263 473 578
64 15 193 371 775
65 27 205 416 634
66 42 139 359 400
67 45 297 441 487
68 34 73 147 396
69 76 84 403 531
70 33 73 171 654
71 47 253 337 393
72 5 222 282 985
73 86 287 376 845
74 83 213 443 673
75 26 217 268 978
76 74 127 472 565
77 82 134 219 255
78 82 116 137 192
79 67 296 342 431
80 45 49 311 945
81 82 169 395 571
82 41 243 296 874
83 90 166 281 299
84 92 152 159 662
85 39 243 413 967
86 53 58 120 898
87 60 281 486 695
88 13 170 217 800
89 64 96 464 971
90 33 90 254 616
91 65 240 362 713
92 27 50 71 81
93 67 113 345 392
94 51 170 398 950
95 36 208 307 497
96 39 137 294 596
97 99 222 378 705
98 98 208 248 347
99 50 272 482 490
100 39 145 431 831
101 42 68 358 471
102 35 126 458 634
103 54 216 234 861
104 64 198 239 822
105 33 246 474 748
106 70 139 245 604
107 18 64 425 504
108 82 292 385 603
109 70 176 237 661
110 92 264 341 360
111 87 232 435 777
112 98 108 332 636
113 51 299 370 763
114 35 130 453 660
115 40 121 497 508
116 6 236 463 641
117 71 187 409 890
118 17 130 307 535
119 61 274 432 489
120 53 232 419 581
121 18 61 408 923
122 17 193 403 911
123 53 124 317 666
124 90 212 483 803
125 92 157 465 695
126 65 148 226 550
127 77 202 276 407
128 17 138 499 653
129 15 108 417 475
130 11 152 335 761
131 29 35 43 683
132 55 114 427 860
133 60 83 100 695
134 2 166 461 981
135 34 171 195 535
136 92 236 275 994
137 17 43 259 459
138 56 86 340 790
