nr id pkt
1 1 10
1 2 3
1 3 1
1 4 7
1 5 3
1 6 2
1 7 10
1 8 5
1 9 5
1 10 2
2 1 2
2 2 9
2 3 6
2 4 5
2 5 7
2 6 2
2 7 10
2 8 9
2 9 4
2 10 10
3 1 1
3 2 4
3 3 5
3 4 9
3 5 3
3 6 2
3 7 3
3 8 7
3 9 3
3 10 6
4 1 4
4 2 7
4 3 4
4 4 10
4 5 6
4 6 5
4 7 7
4 8 2
4 9 4
4 10 4
5 1 10
5 2 6
5 3 2
5 4 9
5 5 5
5 6 2
5 7 7
5 8 1
5 9 3
5 10 3
6 1 1
6 2 8
6 3 9
6 4 1
6 5 6
6 6 7
6 7 1
6 8 6
6 9 3
6 10 5
7 1 5
7 2 6
7 3 2
7 4 5
7 5 7
7 6 4
7 7 9
7 8 9
7 9 6
7 10 10
8 1 1
8 2 6
8 3 9
8 4 8
8 5 2
8 6 8
8 7 4
8 8 7
8 9 7
8 10 6
9 1 1
9 2 1
9 3 1
9 4 8
9 5 7
9 6 3
9 7 4
9 8 1
9 9 5
9 10 2
10 1 4
10 2 2
10 3 3
10 4 9
10 5 4
10 6 1
10 7 3
10 8 3
10 9 5
10 10 8
11 1 10
11 2 9
11 3 9
11 4 1
11 5 10
11 6 5
11 7 1
11 8 4
11 9 2
11 10 2
12 1 7
12 2 5
12 3 4
12 4 1
12 5 3
12 6 7
12 7 8
12 8 8
12 9 4
12 10 6
13 1 3
13 2 1
13 3 4
13 4 6
13 5 7
13 6 6
13 7 1
13 8 6
13 9 8
13 10 1
14 1 5
14 2 9
14 3 8
14 4 9
14 5 1
14 6 4
14 7 6
14 8 8
14 9 3
14 10 7
15 1 9
15 2 2
15 3 2
15 4 9
15 5 7
15 6 3
15 7 7
15 8 4
15 9 10
15 10 10
16 1 6
16 2 7
16 3 5
16 4 2
16 5 9
16 6 8
16 7 1
16 8 2
16 9 3
16 10 8
17 1 7
17 2 1
17 3 7
17 4 3
17 5 1
17 6 1
17 7 2
17 8 1
17 9 9
17 10 8
18 1 6
18 2 7
18 3 10
18 4 10
18 5 10
18 6 7
18 7 3
18 8 8
18 9 3
18 10 2
19 1 6
19 2 10
19 3 9
19 4 6
19 5 8
19 6 8
19 7 2
19 8 8
19 9 9
19 10 6
20 1 7
20 2 5
20 3 4
20 4 4
20 5 7
20 6 9
20 7 1
20 8 9
20 9 9
20 10 10
21 1 10
21 2 7
21 3 5
21 4 8
21 5 7
21 6 8
21 7 9
21 8 1
21 9 3
21 10 4
22 1 7
22 2 3
22 3 9
22 4 2
22 5 3
22 6 8
22 7 4
22 8 2
22 9 9
22 10 1
23 1 10
23 2 5
23 3 3
23 4 6
23 5 2
23 6 10
23 7 2
23 8 3
23 9 10
23 10 8
24 1 9
24 2 1
24 3 5
24 4 9
24 5 5
24 6 4
24 7 10
24 8 3
24 9 3
24 10 1
25 1 6
25 2 9
25 3 10
25 4 4
25 5 1
25 6 5
25 7 1
25 8 2
25 9 4
25 10 3
26 1 8
26 2 6
26 3 10
26 4 5
26 5 1
26 6 3
26 7 3
26 8 2
26 9 4
26 10 2
27 1 4
27 2 3
27 3 2
27 4 8
27 5 4
27 6 9
27 7 6
27 8 3
27 9 4
27 10 8
28 1 9
28 2 5
28 3 8
28 4 6
28 5 7
28 6 4
28 7 3
28 8 6
28 9 4
28 10 8
29 1 9
29 2 10
29 3 5
29 4 7
29 5 10
29 6 10
29 7 9
29 8 5
29 9 3
29 10 8
30 1 1
30 2 5
30 3 2
30 4 8
30 5 3
30 6 10
30 7 8
30 8 4
30 9 1
30 10 6
31 1 7
31 2 5
31 3 3
31 4 7
31 5 2
31 6 1
31 7 1
31 8 3
31 9 3
31 10 6
32 1 4
32 2 9
32 3 2
32 4 6
32 5 8
32 6 1
32 7 9
32 8 6
32 9 2
32 10 6
33 1 5
33 2 1
33 3 10
33 4 4
33 5 10
33 6 4
33 7 8
33 8 1
33 9 4
33 10 10
34 1 1
34 2 5
34 3 5
34 4 1
34 5 5
34 6 9
34 7 3
34 8 10
34 9 2
34 10 10
35 1 10
35 2 9
35 3 5
35 4 3
35 5 6
35 6 3
35 7 1
35 8 4
35 9 8
35 10 3
36 1 1
36 2 8
36 3 3
36 4 10
36 5 4
36 6 4
36 7 3
36 8 8
36 9 1
36 10 2
37 1 10
37 2 7
37 3 1
37 4 2
37 5 9
37 6 10
37 7 5
37 8 7
37 9 2
37 10 8
38 1 10
38 2 3
38 3 2
38 4 9
38 5 2
38 6 7
38 7 4
38 8 10
38 9 8
38 10 9
39 1 10
39 2 8
39 3 3
39 4 10
39 5 6
39 6 1
39 7 4
39 8 7
39 9 9
39 10 6
40 1 9
40 2 5
40 3 2
40 4 8
40 5 8
40 6 5
40 7 10
40 8 6
40 9 9
40 10 1
41 1 1
41 2 6
41 3 6
41 4 5
41 5 2
41 6 10
41 7 6
41 8 5
41 9 6
41 10 4
42 1 5
42 2 4
42 3 4
42 4 2
42 5 1
42 6 3
42 7 1
42 8 1
42 9 2
42 10 4
43 1 7
43 2 2
43 3 8
43 4 6
43 5 8
43 6 4
43 7 4
43 8 4
43 9 3
43 10 9
44 1 2
44 2 6
44 3 4
44 4 8
44 5 3
44 6 3
44 7 5
44 8 7
44 9 2
44 10 5
45 1 9
45 2 8
45 3 1
45 4 3
45 5 1
45 6 3
45 7 10
45 8 10
45 9 3
45 10 7
46 1 5
46 2 2
46 3 10
46 4 10
46 5 10
46 6 6
46 7 8
46 8 7
46 9 10
46 10 6
47 1 1
47 2 8
47 3 4
47 4 4
47 5 10
47 6 8
47 7 2
47 8 9
47 9 5
47 10 7
48 1 8
48 2 3
48 3 7
48 4 2
48 5 4
48 6 3
48 7 4
48 8 6
48 9 8
48 10 10
49 1 1
49 2 10
49 3 8
49 4 4
49 5 3
49 6 2
49 7 10
49 8 3
49 9 6
49 10 10
50 1 1
50 2 1
50 3 9
50 4 10
50 5 1
50 6 1
50 7 8
50 8 4
50 9 3
50 10 7
51 1 6
51 2 8
51 3 4
51 4 6
51 5 5
51 6 7
51 7 3
51 8 2
51 9 3
51 10 9
52 1 7
52 2 10
52 3 4
52 4 9
52 5 9
52 6 5
52 7 3
52 8 8
52 9 8
52 10 5
53 1 2
53 2 3
53 3 2
53 4 1
53 5 3
53 6 2
53 7 7
53 8 9
53 9 7
53 10 7
54 1 3
54 2 3
54 3 6
54 4 3
54 5 2
54 6 3
54 7 4
54 8 1
54 9 6
54 10 5
55 1 8
55 2 3
55 3 9
55 4 1
55 5 10
55 6 9
55 7 1
55 8 9
55 9 4
55 10 1
56 1 8
56 2 3
56 3 7
56 4 6
56 5 8
56 6 6
56 7 9
56 8 1
56 9 3
56 10 5
57 1 4
57 2 6
57 3 1
57 4 8
57 5 8
57 6 3
57 7 1
57 8 6
57 9 9
57 10 1
58 1 4
58 2 10
58 3 1
58 4 2
58 5 3
58 6 5
58 7 4
58 8 5
58 9 2
58 10 7
59 1 2
59 2 2
59 3 4
59 4 6
59 5 3
59 6 1
59 7 7
59 8 9
59 9 10
59 10 8
60 1 1
60 2 10
60 3 4
60 4 2
60 5 10
60 6 1
60 7 1
60 8 9
60 9 8
60 10 4
