WOJ;POW;GMI;NAZWA;STAN_NA
14;32;1;Białutki;01.01.2023
14;32;1;Białuty;01.01.2023
14;32;1;Kolonia Osiek;01.01.2023
14;32;1;Bieniewice;01.01.2023
14;32;1;Janków;01.01.2023
14;32;1;Witanów;01.01.2023
14;32;1;Bieniewo-Parcela;01.01.2023
14;32;1;Bieniewo-Wieś;01.01.2023
14;32;1;Bramki;01.01.2023
14;32;1;Bramki Dolne;01.01.2023
14;32;1;Bramki Ludne;01.01.2023
14;32;1;Bramki Ukazowe;01.01.2023
14;32;1;Cholewy;01.01.2023
14;32;1;Cholewki;01.01.2023
14;32;1;Dębówka;01.01.2023
14;32;1;Odrzywół;01.01.2023
14;32;1;Górna Wieś;01.01.2023
14;32;1;Konstantów;01.01.2023
14;32;1;Kopytów;01.01.2023
14;32;1;Kopytów-Majątek;01.01.2023
14;32;1;Zofiówka;01.01.2023
14;32;1;Łaźniew;01.01.2023
14;32;1;Łaźniew-Majątek;01.01.2023
14;32;1;Łaźniewek;01.01.2023
14;32;1;Nowa Górna;01.01.2023
14;32;1;Nowa Wieś;01.01.2023
14;32;1;Nowe Faszczyce;01.01.2023
14;32;1;Nowy Łuszczewek;01.01.2023
14;32;1;Pass;01.01.2023
14;32;1;Piorunów;01.01.2023
14;32;1;Radonice;01.01.2023
14;32;1;Radzików;01.01.2023
14;32;1;Radzików;01.01.2023
14;32;1;Rochaliki;01.01.2023
14;32;1;Rokitno;01.01.2023
14;32;1;Chruślin;01.01.2023
14;32;1;Wiśniówka;01.01.2023
14;32;1;Rokitno-Majątek;01.01.2023
14;32;1;Błonie-Wieś;01.01.2023
14;32;1;Stare Faszczyce;01.01.2023
14;32;1;Stary Łuszczewek;01.01.2023
14;32;1;Wawrzyszew;01.01.2023
14;32;1;Witki;01.01.2023
14;32;1;Wola Łuszczewska;01.01.2023
14;32;1;Marysinek;01.01.2023
14;32;1;Żukówka;01.01.2023
14;32;1;Górna;01.01.2023
14;32;1;Łąki;01.01.2023
14;21;3;Biskupice;01.01.2023
14;21;3;Biskupice-Majątek;01.01.2023
14;21;3;Czubin;01.01.2023
14;21;3;Domaniew;01.01.2023
14;21;3;Domaniewek;01.01.2023
14;21;3;Stachów;01.01.2023
14;21;3;Falęcin;01.01.2023
14;21;3;Grudów;01.01.2023
14;21;3;Kanie;01.01.2023
14;21;3;Popówek;01.01.2023
14;21;3;Koszajec;01.01.2023
14;21;3;Kotowice;01.01.2023
14;21;3;Krosna-Wieś;01.01.2023
14;21;3;Ferdynandówka;01.01.2023
14;21;3;Marianka;01.01.2023
14;21;3;Krosna-Parcela;01.01.2023
14;21;3;Milęcin;01.01.2023
14;21;3;Czubinek;01.01.2023
14;21;3;Magdalenów;01.01.2023
14;21;3;Zygmuntów;01.01.2023
14;21;3;Moszna-Wieś;01.01.2023
14;21;3;Moszna-Parcela;01.01.2023
14;21;3;Otrębusy;01.01.2023
14;21;3;Karolin;01.01.2023
14;21;3;Owczarnia;01.01.2023
14;21;3;Parzniew;01.01.2023
14;21;3;Terenia;01.01.2023
14;21;3;Kopana;01.01.2023
14;21;3;Żółwin;01.01.2023
14;17;3;Celestynów;01.01.2023
14;17;3;Karniłówka;01.01.2023
14;17;3;Koprówka;01.01.2023
14;17;3;Radzyń;01.01.2023
14;17;3;Zajdlówka;01.01.2023
14;17;3;Dąbrówka;01.01.2023
14;17;3;Opłocie;01.01.2023
14;17;3;Dyzin;01.01.2023
14;17;3;Glina;01.01.2023
14;17;3;Jatne;01.01.2023
14;17;3;Janowice;01.01.2023
14;17;3;Nowe Jatne;01.01.2023
14;17;3;Stare Jatne;01.01.2023
14;17;3;Lasek;01.01.2023
14;17;3;Skarbonka;01.01.2023
14;17;3;Strzępki;01.01.2023
14;17;3;Ostrowik;01.01.2023
14;17;3;Wandzin;01.01.2023
14;17;3;Ostrów;01.01.2023
14;17;3;Podbiel;01.01.2023
14;17;3;Kominki;01.01.2023
14;17;3;Krupińskie;01.01.2023
14;17;3;Rogulskie;01.01.2023
14;17;3;Rosłońce;01.01.2023
14;17;3;Satany;01.01.2023
14;17;3;Pogorzel;01.01.2023
14;17;3;Regut;01.01.2023
14;17;3;Stara Wieś;01.01.2023
14;17;3;Tabor;01.01.2023
14;17;3;Zabieżki;01.01.2023
14;17;3;Taciejów;01.01.2023
14;14;2;Adamówek;01.01.2023
