Pokrycie R G B K
35 2 4 3 32
52 12 1 15 35
47 4 4 4 47
19 2 6 7 15
25 7 2 7 17
33 1 5 8 20
35 1 2 5 37
57 9 11 7 38
55 12 9 5 43
25 2 1 6 18
51 12 2 9 32
16 4 5 4 12
35 6 7 7 26
19 4 5 5 6
8 5 4 5 8
71 11 5 8 49
5 3 2 1 10
59 11 11 4 45
66 1 15 7 50
72 1 14 7 52
26 4 3 2 25
44 11 8 4 25
40 9 7 7 29
48 10 13 1 30
58 3 2 7 48
40 5 4 7 28
68 15 8 11 41
47 1 7 9 35
21 1 1 4 20
33 1 5 8 24
59 8 16 11 35
18 2 1 5 20
55 5 10 4 37
16 6 2 5 18
50 3 3 9 47
24 2 4 7 16
29 5 3 9 24
46 7 4 5 31
46 12 1 8 36
45 2 5 9 42
33 2 2 8 22
25 4 5 7 12
39 2 7 13 31
14 2 1 6 18
14 5 4 3 8
50 5 2 6 50
19 1 1 3 17
27 3 2 8 28
53 10 8 4 34
41 11 7 2 26
11 2 1 2 10
7 3 1 3 11
45 1 5 10 36
46 12 4 8 35
67 15 4 4 49
32 10 8 7 22
53 14 7 14 29
48 7 1 4 40
8 3 2 3 11
19 6 2 4 16
40 11 4 10 26
48 5 8 1 48
20 6 2 8 16
27 4 7 8 18
39 13 1 4 34
18 1 7 1 21
59 3 15 15 31
22 8 2 2 24
59 1 12 6 45
34 9 5 4 21
19 3 4 1 15
54 5 2 10 38
19 5 4 1 18
49 5 12 9 33
56 10 3 5 53
56 10 3 5 44
26 1 6 3 24
40 12 8 11 20
8 1 5 3 14
24 4 1 3 17
58 6 8 14 38
37 10 6 11 17
54 7 15 4 34
70 2 17 10 42
32 5 3 4 29
58 7 15 5 40
31 6 5 8 13
5 2 4 4 6
39 7 6 8 22
49 13 12 9 19
37 3 2 2 38
16 5 7 4 14
1 2 2 2 9
31 3 7 3 31
39 6 7 7 24
59 9 7 16 36
9 1 3 1 15
11 1 3 2 17
66 10 16 13 29
19 4 6 4 10
41 1 1 3 41
56 6 7 12 36
38 9 10 11 14
39 7 1 1 31
49 1 11 12 27
43 10 10 7 17
41 9 6 1 40
43 1 4 11 29
22 6 5 1 15
62 2 6 5 56
24 5 7 6 16
17 3 1 2 13
29 5 4 7 25
49 6 4 11 34
62 8 3 5 56
23 2 8 5 17
15 2 4 4 6
38 6 2 8 31
58 4 7 12 43
65 8 14 12 37
44 3 11 8 37
41 4 1 3 45
29 5 6 1 20
33 3 5 5 25
8 4 3 4 7
44 11 4 12 25
53 10 4 2 38
24 7 1 7 15
13 3 2 2 16
16 1 2 2 17
47 3 8 3 45
31 5 1 6 24
18 5 8 4 16
53 5 11 2 44
43 9 4 1 31
55 13 5 1 40
41 4 4 7 34
26 9 4 9 15
39 3 2 2 42
22 3 6 3 18
34 7 11 6 25
40 11 4 10 27
39 8 6 5 31
60 10 7 4 46
15 5 4 2 12
62 2 5 4 53
17 5 5 2 9
19 5 3 1 15
28 2 1 7 20
3 2 4 3 8
59 5 5 9 44
61 14 6 1 41
9 5 4 2 10
13 3 1 2 14
23 5 4 7 18
20 4 3 3 13
38 12 5 9 24
28 5 8 1 23
51 8 13 8 24
30 6 8 7 19
23 6 8 3 20
6 1 2 1 11
69 8 14 9 40
55 15 5 3 37
49 2 7 2 40
12 1 1 5 15
14 3 1 2 13
26 4 2 6 15
63 9 3 12 44
59 16 2 8 41
5 3 2 4 10
37 9 9 4 16
41 12 5 10 26
26 4 6 8 14
41 5 7 12 28
13 2 3 1 11
31 6 4 8 20
71 3 12 11 48
8 1 2 1 14
27 4 8 3 22
21 5 3 4 18
61 4 2 13 43
30 3 2 6 24
30 1 1 5 26
23 4 7 7 15
63 14 4 6 47
28 9 8 9 11
48 11 6 14 29
42 4 2 10 29
63 10 16 8 32
38 9 5 3 34
30 2 2 7 32
31 2 9 1 31
50 11 6 5 38
26 4 3 3 20
28 4 1 3 25
18 1 1 1 19
51 7 3 6 42
29 2 1 1 33
54 13 3 11 32
17 7 4 7 12
68 17 8 7 39
18 2 2 3 14
20 5 5 6 11
56 5 16 9 36
40 4 1 3 35
43 1 9 10 38
27 3 6 4 21
22 6 5 1 18
23 1 6 3 26
52 8 10 2 33
57 14 7 13 28
22 3 2 3 23
