,1,2,3,4,5,6,7,8,9,10,,12
1,71.7,72.2,72.1,72.0,71.6,70.3,69.8,68.6,68.4,69.7,70.6,70.5
2,71.4,72.5,71.2,71.7,71.6,70.7,69.8,68.8,68.2,69.7,71.6,71.3
3,71.7,71.4,71.8,72.4,71.9,70.7,70.0,68.8,68.6,69.4,71.1,72.1
4,71.7,71.4,70.6,72.2,71.5,70.7,71.2,68.8,68.3,69.9,70.3,72.1
5,71.6,71.0,71.1,72.2,71.1,70.3,70.9,68.8,68.5,70.2,70.8,71.8
6,70.0,69.9,71.1,72.5,71.4,71.5,70.9,68.8,68.0,70.2,71.1,72.3
7,70.6,69.9,71.6,72.8,71.7,70.5,70.2,68.8,68.7,69.5,71.3,72.4
8,71.7,70.7,72.4,71.9,71.0,70.9,69.9,68.8,67.9,69.2,70.5,72.2
9,70.4,71.7,71.6,72.3,71.0,70.3,69.4,68.8,67.9,69.8,71.4,73.3
10,,70.6,71.2,72.9,71.0,70.3,69.4,68.8,68.8,69.5,71.7,73.3
11,,71.0,70.8,72.6,71.2,70.0,70.1,68.4,69.2,69.2,70.7,72.2
12,71.9,71.0,70.6,72.3,72.1,70.2,70.7,69.2,69.3,69.2,70.9,72.6
13,71.3,70.8,70.7,72.1,72.1,71.2,70.7,69.0,69.3,69.4,70.9,73.3
14,71.7,70.8,71.8,72.2,72.1,70.2,69.7,69.4,69.0,69.7,72.0,72.1
15,72.2,71.4,72.3,71.7,72.1,70.5,69.4,69.4,69.0,69.7,71.1,72.2
16,70.2,71.6,70.7,72.4,71.3,70.8,69.4,68.5,68.5,69.7,71.1,72.1
17,71.2,71.9,71.2,72.1,72.1,70.4,69.4,68.1,69.4,69.7,70.9,72.6
18,71.6,71.4,70.9,72.1,71.3,70.4,70.0,68.6,69.3,71.8,71.4,72.1
19,71.3,71.4,71.3,72.4,71.5,70.4,69.4,68.2,69.6,71.8,70.2,72.1
20,70.8,71.4,71.8,72.6,71.5,70.4,69.4,68.2,69.0,70.8,70.6,71.9
21,70.6,71.7,71.3,72.4,71.2,70.1,69.7,67.5,69.0,70.8,70.1,72.1
22,70.6,71.7,71.6,71.8,71.5,70.8,70.0,68.2,68.7,70.4,70.5,71.2
23,70.8,72.2,72.1,71.7,71.5,70.1,69.7,68.2,69.2,70.3,70.5,71.5
24,70.8,71.8,71.8,71.8,71.8,70.6,69.7,68.5,68.8,70.9,71.1,71.3
25,71.8,71.8,71.3,72.2,72.3,70.6,70.0,68.2,68.6,70.3,70.5,71.7
26,71.0,71.4,71.0,72.2,71.5,70.6,69.2,68.5,69.3,71.2,70.5,72.4
27,71.0,70.8,71.7,71.1,70.9,71.0,69.6,68.2,69.3,71.6,71.8,72.8
28,70.2,72.1,71.7,71.2,71.0,71.0,68.9,68.2,70.2,70.6,72.2,72.1
29,70.4,,71.7,71.6,70.3,71.0,68.6,68.5,71.2,70.2,71.3,72.1
30,71.9,,71.7,71.6,70.2,70.4,68.9,68.4,70.1,69.9,70.9,72.4
31,71.9,,71.7,,70.2,,68.9,,,70.6,,71.8
