,1,2,3,4,5,6,7,8,9,10,11,12
1,"74,95","72,30","71,85","73,25","71,30","74,00","74,65","72,75","73,00","74,55","74,15","0,00"
2,"74,50","73,25","71,70","72,55","72,05","74,00","76,20","72,45","73,20","75,05","73,65",
3,"74,35","73,20","71,95","72,55","71,75",,"75,25","72,85",,"74,35","74,20",
4,"73,75","72,60","72,80","73,55","72,25",,"73,75","73,20",,"74,35","74,30",
5,"73,75","72,05","72,10","72,95","71,90",,"74,15","73,20",,"74,35","73,50",
6,"73,65","72,55","71,20","72,95","72,50",,"75,10","73,20",,"75,15","73,05",
7,"73,25","72,20","71,65","72,95","71,55",,"74,70","73,20",,"74,65","72,70",
8,"72,85","72,20","71,10","72,70",72.05,,"74,20","73,70",,"74,25","73,55",
9,"73,40","72,35","71,45","72,35",,,"74,00","73,50",,"74,30","73,70",
10,"72,85","73,30","72,60","72,60",,,"74,15",,,"74,30","73,25",
11,"72,70","72,55","72,60","72,10",,,"73,50","73,65",,"73,85","73,65",
12,"73,55","72,10","72,95","73,65",,,"73,45",,,"74,10","73,75",
13,"73,20","72,60","71,55","73,20",,,"74,30","73,15",,"74,35",,
14,"73,45","72,30","71,55","72,15",,,"73,60","74,00",,"74,35",,
15,"73,45","71,70","71,55","71,85",,,"73,70","73,25",,"73,95",,
16,"72,95","72,20","71,55","72,80",,,"73,20","73,50",,"74,05",,
17,"73,25","72,85","72,30","72,25",,,"73,20","73,50",,"74,80",,
18,"73,15","72,85","71,95","71,90",,,"72,90","73,15",,"74,10",,
19,"72,55","72,55","71,95","71,85",,,"72,80","73,40",,"73,55",,
20,"72,85","72,75","71,50","71,45",,,"72,80","73,35",,"73,10",,
21,"73,65","72,30","70,75","71,75",,,"73,35","73,35",,"74,30",,
22,"73,10","72,35","71,55","72,15",,,"73,05","72,90",,"73,20",,
23,"72,80","72,90","71,55","72,15",,,"73,45","72,30",,"74,45",,
24,"72,30","72,30","71,20","71,30",,,"72,75","72,90",,"74,05",,
25,"72,00","72,85","72,25","72,10",,,"72,30","73,20",,"75,05",,
26,"73,00","72,85","71,75","72,45",,,"72,60","74,25","75,60","74,45",,
27,"72,95","72,25","72,25","72,45",,,"72,05","72,95","75,90",,,
28,"73,20","72,35","72,25","72,00",,,"71,60","72,95","75,20","73,35",,
29,"72,60","71,85","72,65","71,75",,,"71,70","72,95","74,65","73,45",,
30,"72,60",,"72,70","71,35",,,"72,55","73,20","74,55","73,35",,
31,"72,25",,"72,60","71,30",,,"73,75","73,20",,"74,10",,
,,,,,,,,,,,,
max,"75,0","73,3","73,0","73,7","72,5","74,0","76,2","74,3","75,9","75,2","74,3","0,0"
Srednia '23,"73,19","72,50","71,91","72,33","71,90","74,00","73,51","73,21","74,59","74,18","73,62","0,00"
min,"72,0","71,7","70,8","71,3","71,3","74,0","71,6","72,3","73,0","73,1","72,7","0,0"
std,"0,6","0,4","0,5","0,6","0,4","0,0","1,0","0,4","1,0","0,5","0,5","0,0"
Max-min,"3,0","1,6","2,2","2,4","1,2","0,0","4,6","2,0","2,9","2,1","1,6","0,0"
delta z poprz.,"0,8","-0,7","-0,6","0,4","-0,4","2,1","-0,5","-0,3","1,4","-0,4","-0,6","-73,6"
BMI'23,"25,6","25,4","25,2","25,3","25,2","25,9","25,7","25,6","26,1","26,0","25,8","0,0"
