,1,2,3,4,5,6,7,8,9,10,11,12
1,73.3,72.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
2,75.0,72.5,,,,,,,,,,
3,73.7,73.2,,,,,,,,,,
4,73.7,73.0,,,,,,,,,,
5,73.2,72.4,,,,,,,,,,
6,73.6,71.6,,,,,,,,,,
7,73.6,71.7,,,,,,,,,,
8,73.1,71.7,,,,,,,,,,
9,73.1,71.7,,,,,,,,,,
10,72.9,71.9,,,,,,,,,,
11,72.4,71.3,,,,,,,,,,
12,71.9,72.1,,,,,,,,,,
13,72.6,72.2,,,,,,,,,,
14,72.2,72.1,,,,,,,,,,
15,72.0,72.1,,,,,,,,,,
16,73.0,71.6,,,,,,,,,,
17,71.8,,,,,,,,,,,
18,71.8,,,,,,,,,,,
19,72.3,,,,,,,,,,,
20,72.0,,,,,,,,,,,
21,72.4,,,,,,,,,,,
22,71.7,,,,,,,,,,,
23,71.9,,,,,,,,,,,
24,72.4,,,,,,,,,,,
25,73.2,,,,,,,,,,,
26,72.5,,,,,,,,,,,
27,71.8,,,,,,,,,,,
28,71.6,,,,,,,,,,,
29,71.9,,,,,,,,,,,
30,71.9,,,,,,,,,,,
31,71.4,,,,,,,,,,,
