,1,2,3,4,5,6,7,8,9,10,11,12
1,71.7,72.9,74.1,75.2,75.2,73.3,,74.8,75.3,75.3,73.4,71.7
2,72.6,72.3,75.0,74.8,74.8,73.0,,75.2,75.6,75.3,72.4,71.8
3,72.6,72.7,74.1,75.2,74.5,73.4,,74.8,75.2,74.8,72.1,72.0
4,72.4,72.8,73.1,75.1,74.6,73.1,,,74.6,74.7,71.9,73.0
5,72.9,72.3,73.7,75.1,74.2,73.1,,,75.1,75.4,71.9,72.1
6,73.3,72.8,73.7,75.0,74.4,72.9,,,75.0,74.8,73.2,72.3
7,72.9,72.2,73.4,75.2,74.7,73.2,,,74.7,75.2,72.3,71.9
8,72.5,72.2,74.7,75.9,75.7,74.1,,,74.2,74.6,71.6,71.1
9,73.0,72.8,74.1,75.9,74.7,74.5,,,75.6,76.0,71.9,71.9
10,72.5,72.8,74.7,75.2,75.5,75.0,,76.0,74.9,75.3,71.3,72.3
11,72.7,72.4,74.7,,75.3,73.8,,76.0,75.1,75.2,72.4,72.3
12,71.7,72.4,74.1,,74.6,74.2,,75.1,77.1,74.7,72.0,72.4
13,71.4,73.1,74.1,,75.4,74.1,,75.0,76.2,75.4,73.3,73.0
14,71.4,73.1,74.1,,74.6,74.4,,74.4,75.8,75.0,72.5,73.3
15,72.1,73.4,74.5,,74.4,73.8,,74.3,75.2,74.8,72.4,73.1
16,73.0,73.4,74.2,,74.4,73.8,,74.3,75.0,75.3,72.1,73.9
17,73.0,74.4,74.9,74.1,75.7,73.4,,74.0,75.4,75.2,72.5,73.4
18,72.2,73.5,75.2,74.2,74.7,73.8,75.0,74.3,75.8,74.1,71.5,71.3
19,"73,4",74.1,75.2,73.1,74.6,74.1,74.0,74.0,75.1,74.8,72.1,70.9
20,72.2,73.7,74.4,74.1,74.6,73.4,73.9,74.3,76.2,73.9,71.7,71.9
21,72.5,73.4,74.8,74.3,75,73.4,73.2,75.5,75.4,74.5,71.4,71.5
22,72.2,73.4,74.4,,75.2,72.9,73.6,74.6,74.9,73.6,71.6,72.0
23,72.2,73.4,74.9,,75.2,73.4,73.9,75.5,74.2,73.7,71.3,71.7
24,73.4,74.1,74.4,,74.8,73.4,75.2,75.3,74.3,73.6,71.1,71.9
25,73.7,75.1,74.9,75.2,73.7,73.7,75.5,75.5,75.1,73.1,71.0,72.9
26,72.0,74.7,75.2,75.4,73.6,73.7,74.5,74.3,74.7,73.4,71.9,72.7
27,72.0,74.1,75.2,75.4,73.6,74.0,75.0,74.9,74.0,72.7,72.3,73.2
28,72.4,73.5,75.2,75.1,73.2, ,75.4,74.9,74.7,72.1,73.0,74.0
29,72.9,,74.4,75.4,73.7, ,74.8,74.8,74.7,73.2,72.3,74.2
30,72.9,,74.8,"75,4",74.1, ,74.8,75.4, ,72.7,72.1,
31,73.3,,75.4,,73.9, ,74.8,75.0,,72.6,,73.3
